student_id,major,country,GPA,extracurricular_hours_per_week,exercise_hours_per_week,screen_time_hours,mental_stress_level
S06253,Mathematics,Germany,4.0,0.7,4.3,7.7,3.7
S04685,Engineering,Canada,3.31,6.0,5.7,8.0,4.8
S01732,Law,India,3.72,2.5,5.4,8.5,4.2
S04743,Medicine,Italy,3.9,5.3,5.5,6.9,3.3
S04522,Computer Science,Germany,4.0,7.3,0.9,2.4,3.0
S06341,Computer Science,Canada,3.35,4.2,0.0,6.0,4.9
S00577,Medicine,Brazil,3.56,4.0,5.1,5.2,5.3
S05203,Computer Science,India,3.67,7.4,2.0,4.7,4.7
S06364,Computer Science,Canada,3.3,2.7,1.4,6.1,5.7
S00440,Physics,USA,4.0,5.3,4.5,5.2,3.3
S02751,Biology,Netherlands,4.0,6.4,3.5,7.0,3.9
S07488,Business,UK,4.0,6.6,2.9,3.8,4.2
S05273,Biology,Bangladesh,3.44,1.6,0.9,8.6,4.4
S05654,Business,Brazil,3.98,3.9,0.1,7.3,4.4
S04000,Psychology,Bangladesh,3.98,2.0,4.9,7.4,5.0
S06034,Economics,USA,3.76,4.9,1.4,5.0,2.7
S00583,Business,Netherlands,4.0,3.3,5.0,5.3,3.4
S09931,Business,India,3.24,1.3,2.8,4.3,6.3
S07052,Economics,Bangladesh,4.0,5.4,0.0,5.3,2.8
S08159,Engineering,India,3.89,3.8,3.1,6.9,2.7
S09897,Computer Science,South Korea,3.53,4.0,4.0,6.6,5.1
S02250,Biology,Germany,4.0,2.6,6.7,5.9,4.5
S04641,Psychology,France,4.0,4.8,2.8,7.0,3.2
S09486,Law,India,3.89,2.9,2.9,6.6,3.1
S04948,Law,UK,3.45,2.4,3.0,3.9,5.0
S09921,Engineering,Netherlands,3.23,2.4,5.1,6.0,4.0
S01964,Psychology,USA,4.0,8.4,3.1,6.7,4.7
S08244,Engineering,USA,3.96,4.5,3.9,7.7,5.1
S06591,Computer Science,Australia,3.48,4.7,4.1,2.8,3.8
S08848,Mathematics,Netherlands,4.0,4.8,7.1,7.0,3.3
S00322,Law,Bangladesh,3.56,3.9,2.3,8.9,5.7
S02679,Engineering,France,3.82,4.3,2.1,5.5,2.5
S04626,Medicine,India,4.0,3.8,2.6,5.2,5.0
S04950,Law,UK,3.83,0.7,2.0,8.3,5.3
S08329,Biology,UK,4.0,4.4,3.6,5.6,2.9
S03338,Mathematics,Canada,3.5,2.9,2.9,7.9,2.7
S05590,Biology,India,3.66,2.7,6.2,5.8,5.3
S00252,Economics,Netherlands,3.55,3.6,6.0,8.1,2.4
S03974,Economics,Canada,3.49,4.5,4.7,8.9,5.0
S06631,Computer Science,Bangladesh,3.05,1.6,4.8,5.2,3.1
S05548,Engineering,South Korea,4.0,6.0,2.0,7.0,3.8
S00036,Physics,Japan,3.1,4.6,1.6,5.5,4.4
S08363,Economics,Brazil,3.49,2.8,3.3,6.3,3.4
S01514,Physics,France,2.44,7.7,4.5,7.8,5.5
S09318,Psychology,France,2.81,0.2,2.9,8.4,6.4
S00040,Mathematics,Bangladesh,4.0,3.0,3.9,3.6,2.9
S04820,Medicine,Brazil,3.42,6.3,1.2,3.4,5.3
S03466,Mathematics,Japan,3.69,2.5,2.6,2.5,3.5
S01761,Biology,Bangladesh,4.0,3.9,6.8,6.4,3.2
S02305,Business,Australia,4.0,4.1,5.3,3.7,4.0
S03724,Medicine,Australia,3.2,8.1,6.4,3.6,1.0
S08285,Computer Science,Italy,3.64,0.0,0.6,7.0,3.4
S04994,Medicine,Brazil,3.84,3.9,4.6,6.8,1.8
S08128,Economics,Netherlands,3.32,3.6,2.7,5.5,3.4
S03033,Biology,France,4.0,2.4,0.0,4.2,5.6
S07939,Mathematics,Netherlands,4.0,6.3,4.3,7.2,3.3
S03040,Engineering,Netherlands,3.43,4.1,0.2,6.3,1.4
S09656,Physics,Brazil,4.0,3.6,6.2,6.2,3.8
S02546,Psychology,South Korea,3.99,3.1,0.0,5.3,3.9
S02593,Psychology,Canada,3.65,2.4,6.1,6.6,4.5
S01189,Engineering,Netherlands,4.0,0.0,0.0,5.3,5.1
S07967,Physics,Canada,4.0,5.0,5.9,2.2,2.5
S06078,Computer Science,UK,3.3,4.7,0.5,10.3,6.3
S00108,Engineering,USA,3.72,2.9,5.0,6.4,4.8
S01316,Engineering,Japan,2.97,4.6,2.8,6.9,3.1
S08188,Mathematics,Germany,3.91,3.6,3.2,8.5,5.6
S02754,Computer Science,Germany,3.4,2.7,4.1,8.2,3.9
S09754,Physics,Italy,3.84,4.6,4.9,7.5,3.3
S06232,Biology,USA,3.04,3.9,0.0,6.6,5.3
S02877,Medicine,Brazil,2.32,3.2,0.0,6.6,5.8
S05324,Mathematics,Netherlands,3.33,3.0,2.3,3.4,3.9
S00800,Computer Science,Japan,4.0,4.9,1.3,4.8,3.0
S03571,Computer Science,Brazil,3.58,2.7,4.2,1.5,4.7
S02895,Biology,Italy,3.94,7.4,4.3,7.6,4.5
S02928,Business,Italy,4.0,5.7,0.8,5.0,5.3
S08179,Psychology,Canada,4.0,0.3,3.9,6.2,2.5
S00972,Psychology,Australia,3.79,3.5,2.5,8.8,3.1
S06688,Mathematics,India,4.0,0.0,5.0,5.4,1.7
S08576,Engineering,Canada,3.81,5.7,6.8,5.9,1.6
S02021,Biology,Canada,3.39,1.8,6.4,3.8,3.1
S09055,Psychology,Netherlands,3.35,1.3,3.0,6.5,3.1
S00953,Computer Science,UK,3.42,4.6,2.2,4.3,3.7
S05360,Physics,Bangladesh,3.87,4.6,6.8,1.5,2.1
S03858,Biology,Netherlands,3.65,3.2,3.8,7.2,4.8
S05862,Engineering,Italy,4.0,4.3,4.1,3.6,4.2
S03146,Biology,Canada,4.0,2.3,4.5,2.4,1.2
S03306,Mathematics,France,4.0,1.3,2.1,9.8,5.6
S03007,Physics,Germany,4.0,2.9,5.2,6.2,2.2
S09002,Business,Germany,3.87,4.7,1.7,6.8,5.5
S07771,Physics,India,4.0,4.5,2.6,4.8,2.6
S07439,Engineering,Bangladesh,2.95,1.7,7.4,5.2,2.7
